branch,block_no,room_no,bench_no,enrollment_no
CSE,B-1,102,1,2303051050248
CSE,B-1,102,11,2303051051264
CSE,B-1,102,21,2303051050103
CSE,B-1,102,2,2403051057068
CSE,B-1,102,12,2303051050946
CSE,B-1,102,22,2303051051040
CSE,B-1,102,3,2303051051190
CSE,B-1,102,13,2303051050553
CSE,B-1,102,23,2303051051010
CSE,B-1,102,4,2303051050770
CSE,B-1,102,14,2303051050222
CSE,B-1,102,24,2303051050880
CSE,B-1,102,5,2303051050235
CSE,B-1,102,15,2303051051403
CSE,B-1,102,25,2303051050845
CSE,B-1,102,6,2303051050565
CSE,B-1,102,16,2303051051052
CSE,B-1,102,26,2303051050257
CSE,B-1,102,7,2303051050924
CSE,B-1,102,17,2303051050525
CSE,B-1,102,27,2303051051271
CSE,B-1,102,8,2303051050126
CSE,B-1,102,18,2303051051266
CSE,B-1,102,28,2403051057020
CSE,B-1,102,9,2303051050055
CSE,B-1,102,19,2303051050393
CSE,B-1,102,29,2303051050943
CSE,B-1,102,10,2303051050621
CSE,B-1,102,20,2303051050428
CSE,B-1,102,30,2303051050457
CSE,B-3,103,1,2303051051331
CSE,B-3,103,11,2303051050178
CSE,B-3,103,21,2303051050243
CSE,B-3,103,2,2303051050877
CSE,B-3,103,12,2303051050639
CSE,B-3,103,22,2303051050800
CSE,B-3,103,3,2303051050932
CSE,B-3,103,13,2303051050908
CSE,B-3,103,23,2303051050156
CSE,B-3,103,4,2303051050900
CSE,B-3,103,14,2303051050995
CSE,B-3,103,24,2303051050928
CSE,B-3,103,5,2303051050637
CSE,B-3,103,15,2303051050534
CSE,B-3,103,25,2303051050081
CSE,B-3,103,6,2303051050120
CSE,B-3,103,16,2303051051327
CSE,B-3,103,26,2303051050209
CSE,B-3,103,7,2303051050810
CSE,B-3,103,17,2303051050396
CSE,B-3,103,27,2303051050147
CSE,B-3,103,8,2303051050170
CSE,B-3,103,18,2303051051180
CSE,B-3,103,28,2303051051258
CSE,B-3,103,9,2303051050228
CSE,B-3,103,19,2303051050822
CSE,B-3,103,29,2303051051217
CSE,B-3,103,10,2303051050848
CSE,B-3,103,20,2303051051310
CSE,B-5,130,1,2303051050975
CSE,B-5,130,11,2303051050395
CSE,B-5,130,21,2303051050790
CSE,B-5,130,2,2403051057057
CSE,B-5,130,12,2303051050145
CSE,B-5,130,22,2303051050278
CSE,B-5,130,3,2303051051380
CSE,B-5,130,13,2303051050048
CSE,B-5,130,23,2303051050936
CSE,B-5,130,4,2303051050172
CSE,B-5,130,14,2303051050397
CSE,B-5,130,24,2303051050251
CSE,B-5,130,5,2303051050439
CSE,B-5,130,15,2303051050140
CSE,B-5,130,25,2303051050314
CSE,B-5,130,6,2403051057015
CSE,B-5,130,16,2303051050258
CSE,B-5,130,26,2303051050390
CSE,B-5,130,7,2303051050876
CSE,B-5,130,17,2303051050261
CSE,B-5,130,27,2303051051002
CSE,B-5,130,8,2303051051183
CSE,B-5,130,18,2303051050796
CSE,B-5,130,28,2303051050304
CSE,B-5,130,9,2303051050008
CSE,B-5,130,19,2303051051157
CSE,B-5,130,29,2303051050929
CSE,B-5,130,10,2303051050370
CSE,B-5,130,20,2303051050955
CSE,B-5,130,30,2303051050828
CSE,B-7,131,1,2303051050234
CSE,B-7,131,11,2303051050778
CSE,B-7,131,21,2303051050536
CSE,B-7,131,2,2303051050418
CSE,B-7,131,12,2303051050836
CSE,B-7,131,22,2303051050611
CSE,B-7,131,3,2303051051364
CSE,B-7,131,13,2303051051181
CSE,B-7,131,23,2303051050660
CSE,B-7,131,4,2303051050385
CSE,B-7,131,14,2303051051089
CSE,B-7,131,24,2303051050920
CSE,B-7,131,5,2303051050188
CSE,B-7,131,15,2303051050073
CSE,B-7,131,25,2303051050797
CSE,B-7,131,6,2303051051270
CSE,B-7,131,16,2303051050377
CSE,B-7,131,26,2303051050583
CSE,B-7,131,7,2303051050366
CSE,B-7,131,17,2303051050896
CSE,B-7,131,27,2303051050308
CSE,B-7,131,8,2403051057116
CSE,B-7,131,18,2303051050038
CSE,B-7,131,28,2303051051245
CSE,B-7,131,9,2303051050867
CSE,B-7,131,19,2303051051237
CSE,B-7,131,29,2303051050475
CSE,B-7,131,10,2403051057132
CSE,B-7,131,20,2303051051298
CSE,B-9,132,1,2303051051178
CSE,B-9,132,11,2303051050402
CSE,B-9,132,21,2303051050067
CSE,B-9,132,2,2303051050949
CSE,B-9,132,12,2303051051209
CSE,B-9,132,22,2303051050373
CSE,B-9,132,3,2303051050945
CSE,B-9,132,13,2303051050086
CSE,B-9,132,23,2303051050768
CSE,B-9,132,4,2303051050524
CSE,B-9,132,14,2303051050658
CSE,B-9,132,24,2303051050139
CSE,B-9,132,5,2303051050963
CSE,B-9,132,15,2303051050555
CSE,B-9,132,25,2303051051035
CSE,B-9,132,6,2303051050811
CSE,B-9,132,16,2303051050926
CSE,B-9,132,26,2303051050042
CSE,B-9,132,7,2303051050362
CSE,B-9,132,17,2303051050212
CSE,B-9,132,27,2303051050022
CSE,B-9,132,8,2303051050466
CSE,B-9,132,18,2303051050846
CSE,B-9,132,28,2303051050313
CSE,B-9,132,9,2303051050023
CSE,B-9,132,19,2303051050998
CSE,B-9,132,29,2303051050500
CSE,B-9,132,10,2303051050939
CSE,B-9,132,20,2303051050294
CSE,B-9,132,30,2303051050852
CSE,B-11,133,1,2303051050469
CSE,B-11,133,11,2303051050101
CSE,B-11,133,21,2403051057001
CSE,B-11,133,2,2303051050320
CSE,B-11,133,12,2303051050830
CSE,B-11,133,22,2303051050807
CSE,B-11,133,3,2303051051021
CSE,B-11,133,13,2303051051315
CSE,B-11,133,23,2303051050816
CSE,B-11,133,4,2303051050789
CSE,B-11,133,14,2303051050834
CSE,B-11,133,24,2303051050106
CSE,B-11,133,5,2303051051347
CSE,B-11,133,15,2303051050353
CSE,B-11,133,25,2303051050973
CSE,B-11,133,6,2303051050542
CSE,B-11,133,16,2303051050584
CSE,B-11,133,26,2303051050226
CSE,B-11,133,7,2303051050509
CSE,B-11,133,17,2303051050215
CSE,B-11,133,27,2303051050216
CSE,B-11,133,8,2303051050573
CSE,B-11,133,18,2303051050613
CSE,B-11,133,28,2303051051113
CSE,B-11,133,9,2403051057063
CSE,B-11,133,19,2303051050417
CSE,B-11,133,29,2303051050871
CSE,B-11,133,10,2303051050891
CSE,B-11,133,20,2303051050367
CSE,B-13,134,1,2303051050967
CSE,B-13,134,11,2303051050391
CSE,B-13,134,21,2303051051017
CSE,B-13,134,2,2303051050009
CSE,B-13,134,12,2303051050066
CSE,B-13,134,22,2303051051321
CSE,B-13,134,3,2303051050160
CSE,B-13,134,13,2303051050176
CSE,B-13,134,23,2303051050590
CSE,B-13,134,4,2303051050882
CSE,B-13,134,14,2303051050478
CSE,B-13,134,24,2303051050032
CSE,B-13,134,5,2303051050925
CSE,B-13,134,15,2303051050354
CSE,B-13,134,25,2303051050149
CSE,B-13,134,6,2303051050531
CSE,B-13,134,16,2303051050290
CSE,B-13,134,26,2303051051265
CSE,B-13,134,7,2303051050910
CSE,B-13,134,17,2303051051304
CSE,B-13,134,27,2303051051206
CSE,B-13,134,8,2303051050221
CSE,B-13,134,18,2303051050153
CSE,B-13,134,28,2303051050381
CSE,B-13,134,9,2303051051058
CSE,B-13,134,19,2303051051288
CSE,B-13,134,29,2303051051189
CSE,B-13,134,10,2303051051250
CSE,B-13,134,20,2303051050154
CSE,B-13,134,30,2303051050239
CSE,B-15,135,1,2303051051144
CSE,B-15,135,11,2303051051261
CSE,B-15,135,21,2303051050863
CSE,B-15,135,2,2403051057127
CSE,B-15,135,12,2303051050904
CSE,B-15,135,22,2303051050340
CSE,B-15,135,3,2303051050363
CSE,B-15,135,13,2303051050777
CSE,B-15,135,23,2403051057093
CSE,B-15,135,4,2303051050372
CSE,B-15,135,14,2303051050471
CSE,B-15,135,24,2303051051073
CSE,B-15,135,5,2303051050295
CSE,B-15,135,15,2303051051173
CSE,B-15,135,25,2303051051214
CSE,B-15,135,6,2303051051090
CSE,B-15,135,16,2303051050078
CSE,B-15,135,26,2303051050905
CSE,B-15,135,7,2303051050230
CSE,B-15,135,17,2303051050274
CSE,B-15,135,27,2303051050299
CSE,B-15,135,8,2303051051167
CSE,B-15,135,18,2303051051125
CSE,B-15,135,28,2303051050382
CSE,B-15,135,9,2303051050432
CSE,B-15,135,19,2303051050961
CSE,B-15,135,29,2303051050607
CSE,B-15,135,10,2303051050957
CSE,B-15,135,20,2303051051150
CSE,B-17,201,1,2303051050935
CSE,B-17,201,11,2303051050616
CSE,B-17,201,21,2303051050105
CSE,B-17,201,2,2403051057110
CSE,B-17,201,12,2303051051091
CSE,B-17,201,22,2303051050771
CSE,B-17,201,3,2303051050044
CSE,B-17,201,13,2303051051069
CSE,B-17,201,23,2303051051263
CSE,B-17,201,4,2303051050609
CSE,B-17,201,14,2303051050241
CSE,B-17,201,24,2303051050071
CSE,B-17,201,5,2303051050614
CSE,B-17,201,15,2303051050868
CSE,B-17,201,25,2303051050024
CSE,B-17,201,6,2303051050047
CSE,B-17,201,16,2303051051277
CSE,B-17,201,26,2303051050386
CSE,B-17,201,7,2403051057131
CSE,B-17,201,17,2303051050551
CSE,B-17,201,27,2303051050655
CSE,B-17,201,8,2303051050002
CSE,B-17,201,18,2303051050010
CSE,B-17,201,28,2303051050012
CSE,B-17,201,9,2303051050914
CSE,B-17,201,19,2403051057031
CSE,B-17,201,29,2303051050046
CSE,B-17,201,10,2303051050260
CSE,B-17,201,20,2303051050016
CSE,B-17,201,30,2303051050065
CSE,B-19,202,1,2303051050093
CSE,B-19,202,11,2303051050342
CSE,B-19,202,21,2303051050558
CSE,B-19,202,2,2303051050201
CSE,B-19,202,12,2303051050357
CSE,B-19,202,22,2303051050572
CSE,B-19,202,3,2303051050206
CSE,B-19,202,13,2303051050374
CSE,B-19,202,23,2303051050577
CSE,B-19,202,4,2303051050207
CSE,B-19,202,14,2303051050394
CSE,B-19,202,24,2303051050603
CSE,B-19,202,5,2303051050217
CSE,B-19,202,15,2303051050409
CSE,B-19,202,25,2303051050604
CSE,B-19,202,6,2303051050252
CSE,B-19,202,16,2303051050430
CSE,B-19,202,26,2303051050622
CSE,B-19,202,7,2303051050268
CSE,B-19,202,17,2303051050463
CSE,B-19,202,27,2303051050875
CSE,B-19,202,8,2303051050276
CSE,B-19,202,18,2303051050477
CSE,B-19,202,28,2303051050889
CSE,B-19,202,9,2303051050303
CSE,B-19,202,19,2303051050507
CSE,B-19,202,29,2303051050911
CSE,B-19,202,10,2303051050327
CSE,B-19,202,20,2303051050519
CSE,B-21,203-A,1,2303051050988
CSE,B-21,203-A,11,2303051051283
CSE,B-21,203-A,21,2403051057106
CSE,B-21,203-A,2,2303051051016
CSE,B-21,203-A,12,2303051051285
CSE,B-21,203-A,22,2403051057137
CSE,B-21,203-A,3,2303051051034
CSE,B-21,203-A,13,2303051051412
CSE,B-21,203-A,23,2303051050288
CSE,B-21,203-A,4,2303051051061
CSE,B-21,203-A,14,2303051051421
CSE,B-21,203-A,24,2303051050142
CSE,B-21,203-A,5,2303051051080
CSE,B-21,203-A,15,2303051051453
CSE,B-21,203-A,25,2403051057128
CSE,B-21,203-A,6,2303051051099
CSE,B-21,203-A,16,2303051051459
CSE,B-21,203-A,26,2303051050333
CSE,B-21,203-A,7,2303051051142
CSE,B-21,203-A,17,2403051057007
CSE,B-21,203-A,27,2303051051001
CSE,B-21,203-A,8,2303051051215
CSE,B-21,203-A,18,2403051057077
CSE,B-21,203-A,28,2303051051043
CSE,B-21,203-A,9,2303051051244
CSE,B-21,203-A,19,2403051057079
CSE,B-21,203-A,29,2303051050515
CSE,B-21,203-A,10,2303051051267
CSE,B-21,203-A,20,2403051057098
CSE,B-21,203-A,30,2303051050197
CSE,B-23,203-B,1,2403051057060
CSE,B-23,203-B,11,2303051051452
CSE,B-23,203-B,21,2303051050530
CSE,B-23,203-B,2,2303051050523
CSE,B-23,203-B,12,2303051050521
CSE,B-23,203-B,22,2303051050450
CSE,B-23,203-B,3,2303051050579
CSE,B-23,203-B,13,2303051051171
CSE,B-23,203-B,23,2303051050984
CSE,B-23,203-B,4,2303051050202
CSE,B-23,203-B,14,2303051050043
CSE,B-23,203-B,24,2303051050554
CSE,B-23,203-B,5,2303051050371
CSE,B-23,203-B,15,2303051051026
CSE,B-23,203-B,25,2303051050109
CSE,B-23,203-B,6,2303051050293
CSE,B-23,203-B,16,2303051051005
CSE,B-23,203-B,26,2303051050937
CSE,B-23,203-B,7,2303051050966
CSE,B-23,203-B,17,2303051051455
CSE,B-23,203-B,27,2303051050028
CSE,B-23,203-B,8,2403051057040
CSE,B-23,203-B,18,2403051057089
CSE,B-23,203-B,28,2303051050096
CSE,B-23,203-B,9,2303051050987
CSE,B-23,203-B,19,2303051051060
CSE,B-23,203-B,29,2303051050989
CSE,B-23,203-B,10,2303051051400
CSE,B-23,203-B,20,2303051050310
CSE,B-25,203-C,1,2403051057017
CSE,B-25,203-C,11,2303051051373
CSE,B-25,203-C,21,2303051051051
CSE,B-25,203-C,2,2303051050824
CSE,B-25,203-C,12,2303051050567
CSE,B-25,203-C,22,2303051050011
CSE,B-25,203-C,3,2303051050520
CSE,B-25,203-C,13,2303051050398
CSE,B-25,203-C,23,2303051051103
CSE,B-25,203-C,4,2303051051170
CSE,B-25,203-C,14,2303051050951
CSE,B-25,203-C,24,2303051050619
CSE,B-25,203-C,5,2303051050491
CSE,B-25,203-C,15,2303051050129
CSE,B-25,203-C,25,2303051050774
CSE,B-25,203-C,6,2303051051148
CSE,B-25,203-C,16,2303051050033
CSE,B-25,203-C,26,2303051050974
CSE,B-25,203-C,7,2303051050255
CSE,B-25,203-C,17,2303051051475
CSE,B-25,203-C,27,2303051050319
CSE,B-25,203-C,8,2303051050144
CSE,B-25,203-C,18,2403051057102
CSE,B-25,203-C,28,2303051050302
CSE,B-25,203-C,9,2303051050064
CSE,B-25,203-C,19,2303051050388
CSE,B-25,203-C,29,2303051050856
CSE,B-25,203-C,10,2303051050953
CSE,B-25,203-C,20,2303051050821
CSE,B-25,203-C,30,2303051050772
CSE,B-27,205,1,2303051051419
CSE,B-27,205,11,2403051057065
CSE,B-27,205,21,2303051050446
CSE,B-27,205,2,2303051050853
CSE,B-27,205,12,2303051050940
CSE,B-27,205,22,2303051050054
CSE,B-27,205,3,2303051050191
CSE,B-27,205,13,2303051050839
CSE,B-27,205,23,2303051051484
CSE,B-27,205,4,2303051050775
CSE,B-27,205,14,2303051050983
CSE,B-27,205,24,2303051051101
CSE,B-27,205,5,2303051051159
CSE,B-27,205,15,2303051051086
CSE,B-27,205,25,2303051051309
CSE,B-27,205,6,2303051050083
CSE,B-27,205,16,2303051050031
CSE,B-27,205,26,2303051050529
CSE,B-27,205,7,2303051050633
CSE,B-27,205,17,2303051051009
CSE,B-27,205,27,2303051050131
CSE,B-27,205,8,2403051057069
CSE,B-27,205,18,2303051050041
CSE,B-27,205,28,2403051057028
CSE,B-27,205,9,2303051051228
CSE,B-27,205,19,2303051051186
CSE,B-27,205,29,2403051057061
CSE,B-27,205,10,2303051050132
CSE,B-27,205,20,2303051050933
CSE,B-29,208,1,2303051050827
CSE,B-29,208,11,2303051051146
CSE,B-29,208,21,2303051050013
CSE,B-29,208,2,2303051050325
CSE,B-29,208,12,2303051050601
CSE,B-29,208,22,2303051051152
CSE,B-29,208,3,2303051050528
CSE,B-29,208,13,2303051050090
CSE,B-29,208,23,2303051050301
CSE,B-29,208,4,2303051050182
CSE,B-29,208,14,2303051050287
CSE,B-29,208,24,2403051057023
CSE,B-29,208,5,2303051050956
CSE,B-29,208,15,2303051050410
CSE,B-29,208,25,2303051051256
CSE,B-29,208,6,2303051050893
CSE,B-29,208,16,2303051051046
CSE,B-29,208,26,2303051050152
CSE,B-29,208,7,2303051050902
CSE,B-29,208,17,2303051050773
CSE,B-29,208,27,2303051051121
CSE,B-29,208,8,2303051051092
CSE,B-29,208,18,2303051051478
CSE,B-29,208,28,2303051050455
CSE,B-29,208,9,2303051051280
CSE,B-29,208,19,2303051050049
CSE,B-29,208,29,2303051050339
CSE,B-29,208,10,2303051050582
CSE,B-29,208,20,2303051050134
CSE,B-29,208,30,2303051050247
CSE,B-31,222,1,2303051050814
CSE,B-31,222,11,2303051050518
CSE,B-31,222,21,2303051050557
CSE,B-31,222,2,2303051050832
CSE,B-31,222,12,2303051051303
CSE,B-31,222,22,2303051050356
CSE,B-31,222,3,2303051051460
CSE,B-31,222,13,2303051051268
CSE,B-31,222,23,2303051050271
CSE,B-31,222,4,2303051051377
CSE,B-31,222,14,2303051051063
CSE,B-31,222,24,2303051050075
CSE,B-31,222,5,2403051057008
CSE,B-31,222,15,2303051051434
CSE,B-31,222,25,2303051050068
CSE,B-31,222,6,2303051051037
CSE,B-31,222,16,2303051050425
CSE,B-31,222,26,2303051051477
CSE,B-31,222,7,2303051051435
CSE,B-31,222,17,2303051050587
CSE,B-31,222,27,2303051050165
CSE,B-31,222,8,2303051050980
CSE,B-31,222,18,2303051050504
CSE,B-31,222,28,2303051051202
CSE,B-31,222,9,2303051051476
CSE,B-31,222,19,2303051050306
CSE,B-31,222,29,2303051051169
CSE,B-31,222,10,2403051057072
CSE,B-31,222,20,2403051057083
CSE,B-33,223,1,2303051050595
CSE,B-33,223,11,2303051051110
CSE,B-33,223,21,2303051050283
CSE,B-33,223,2,2303051050503
CSE,B-33,223,12,2303051051200
CSE,B-33,223,22,2303051051065
CSE,B-33,223,3,2303051051057
CSE,B-33,223,13,2303051050769
CSE,B-33,223,23,2303051050941
CSE,B-33,223,4,2303051050972
CSE,B-33,223,14,2303051051361
CSE,B-33,223,24,2303051051185
