Date,Division,Subject Name,Subject Code,Classroom
2026-04-06,6C1,MEARN,303105386,172-1
2026-04-06,6C2,MEARN,303105386,172-2
2026-04-06,6A4,ML,303105354,201
2026-04-06,6A5,MEARN,303105386,202
2026-04-06,6A9,MAD,303105380,205
2026-04-06,6A10,MAD,303105380,302
2026-04-06,6A11,MAD,303105380,303
2026-04-06,6A12,MAD,303105380,304
2026-04-06,6A13,CD,303105350,307
2026-04-06,6A14,CD,303105350,308
2026-04-06,6A15,CD,303105350,324
2026-04-06,6A16,CD,303105350,325
2026-04-06,6A17,MAD,303105380,326
2026-04-06,6A18,ML,303105354,327
2026-04-06,6A19,MEARN,303105386,328
2026-04-06,6A20,MAD,303105380,329
2026-04-06,BDA,MAD,203105360/303105380,329
2026-04-06,6A21,CD,303105350,358
2026-04-06,6A22,CD,303105350,360
2026-04-06,6B1,Project-1,303105300,361
2026-04-06,6B2,ML,303105354,362
2026-04-06,6B3,ML,303105354,370
2026-04-06,6B4,CS,303105342,371
2026-04-06,6B5,ML,303105354,372
2026-04-06,6B6,CS,303105342,373
2026-04-06,6A6,MEARN,303105386,203A
2026-04-06,6A8,MEARN,303105386,203C
2026-04-07,6C1,SM,303105366,172-1
2026-04-07,6C2,SM,303105366,172-2
2026-04-07,BDA,CC,203105446/303105364,172-4
2026-04-07,6A1,CD,303105350,201
2026-04-07,6A2,CD,303105350,202
2026-04-07,6A5,ML,303105354,205
2026-04-07,6A6,ML,303105354,302
2026-04-07,6A7,ML,303105354,303
2026-04-07,6A8,ML,303105354,304
2026-04-07,6A13,MAD,303105380,307
2026-04-07,6A14,MAD,303105380,308
2026-04-07,6A15,MAD,303105380,324
2026-04-07,6A16,MAD,303105380,325
2026-04-07,6A17,ML,303105354,326
2026-04-07,6A18,CD,303105350,327
2026-04-07,6A19,ML,303105354,328
2026-04-07,6A21,MAD,303105380,358
2026-04-07,6A22,MAD,303105380,360
2026-04-07,6B1,MEARN,303105386,361
2026-04-07,6B2,MEARN,303105386,362
2026-04-07,6B3,CD,303105350,370
2026-04-07,6B4,MEARN,303105386,371
2026-04-07,6B5,MEARN,303105386,372
2026-04-07,6B6,MEARN,303105386,373
2026-04-07,6A3,CD,303105350,203A
2026-04-07,6A4,CD,303105350,203C
2026-04-08,6A11,Project-1,303105300,172-3
2026-04-08,6C1,CCS,303105368,172-1
2026-04-08,6C2,CCS,303105368,172-2
2026-04-08,BDA,BDA,203105348/303105362,172-4
2026-04-08,6A1,MAD,303105380,201
2026-04-08,6A2,MAD,303105380,202
2026-04-08,6A7,CD,303105350,205
2026-04-08,6A8,CD,303105350,302
2026-04-08,6A9,ML,303105354,303
2026-04-08,6A10,ML,303105354,304
2026-04-08,6A13,MEARN,303105386,307
2026-04-08,6A14,MEARN,303105386,308
2026-04-08,6A15,MEARN,303105386,324
2026-04-08,6A16,MEARN,303105386,325
2026-04-08,6A17,MEARN,303105386,326
2026-04-08,6A18,MAD,303105380,327
2026-04-08,6A19,CD,303105350,328
2026-04-08,6A12,Project-1,303105300,329
2026-04-08,6A20,ML,303105354,329
2026-04-08,6A21,MEARN,303105386,358
2026-04-08,6A22,ML,303105354,360
2026-04-08,6B1,ML,303105354,361
2026-04-08,6B2,CD,303105350,362
2026-04-08,6B3,MEARN,303105386,370
2026-04-08,6B4,ML,303105354,371
2026-04-08,6B5,CD,303105350,372
2026-04-08,6B6,ML,303105354,373
2026-04-08,6A3,MAD,303105380,203A
2026-04-08,6A4,MAD,303105380,203C
2026-04-09,6A11,CD,303105350,172-3
2026-04-09,6A6,MAD,303105380,172-8
2026-04-09,6C1,REMA,303105390,172-1
2026-04-09,6C2,REMA,303105390,172-2
2026-04-09,6A1,MEARN,303105386,201
2026-04-09,6A2,MEARN,303105386,202
2026-04-09,6A7,MAD,303105380,205
2026-04-09,6A8,MAD,303105380,302
2026-04-09,6A9,CD,303105350,303
2026-04-09,6A10,CD,303105350,304
2026-04-09,6A13,ML,303105354,307
2026-04-09,6A14,ML,303105354,308
2026-04-09,6A5,MAD,303105380,324
2026-04-09,6A16,ML,303105354,325
2026-04-09,6A17,CD,303105350,326
2026-04-09,6A18,MEARN,303105386,327
2026-04-09,6A19,MAD,303105380,328
2026-04-09,6A12,CD,303105350,329
2026-04-09,BDA,CD,203105361/303105350,329
2026-04-09,6A20,CD,303105350,358
2026-04-09,6A22,MEARN,303105386,360
2026-04-09,6B1,HPC,303105356,361
2026-04-09,6B2,CS,303105342,362
2026-04-09,6B3,Project-1,303105300,370
2026-04-09,6B4,HPC,303105356,371
2026-04-09,6B5,CS,303105342,372
2026-04-09,6B6,Project-1,303105300,373
2026-04-09,6A3,MEARN,303105386,203A
2026-04-09,6A4,MEARN,303105386,203C
2026-04-10,6A11,MEARN,303105386,172-3
2026-04-10,6A6,Project-1,303105300,172-8
2026-04-10,6C1,DFIR,303105396,172-1
2026-04-10,6C2,DFIR,303105396,172-2
2026-04-10,6A1,Project-1,303105300,201
2026-04-10,6A2,Project-1,303105300,202
2026-04-10,6A7,Project-1,303105300,205
2026-04-10,6A8,Project-1,303105300,302
2026-04-10,6A9,Project-1,303105300,303
2026-04-10,6A10,Project-1,303105300,304
2026-04-10,6A15,ML,303105354,307
2026-04-10,6A5,Project-1,303105300,324
2026-04-10,6A18,Project-1,303105300,326
2026-04-10,6A19,Project-1,303105300,327
2026-04-10,6A20,Project-1,303105300,328
2026-04-10,6A12,MEARN,303105386,329
2026-04-10,6A21,ML,303105354,358
2026-04-10,6A22,Project-1,303105300,360
2026-04-10,6B1,CD,303105350,361
2026-04-10,6B2,HPC,303105356,362
2026-04-10,6B3,CS,303105342,370
2026-04-10,BDA,CS,203105327/303105342,370
2026-04-10,6B4,CD,303105350,371
2026-04-10,6B5,HPC,303105356,372
2026-04-10,6B6,CD,303105350,373
2026-04-10,6A3,Project-1,303105300,203A
2026-04-10,6A4,Project-1,303105300,203C
2026-04-11,6A11,ML,303105354,172-3
2026-04-11,6A6,CD,303105350,172-8
2026-04-11,6C1,Project-1,303105300,172-1
2026-04-11,6C2,Project-1,303105300,172-2
2026-04-11,6A1,ML,303105354,201
2026-04-11,6A2,ML,303105354,202
2026-04-11,6A7,MEARN,303105386,205
2026-04-11,6A9,MEARN,303105386,303
2026-04-11,6A10,MEARN,303105386,304
2026-04-11,6A14,Project-1,303105300,307
2026-04-11,6A13,Project-1,303105300,308
2026-04-11,6A5,CD,303105350,324
2026-04-11,6A15,Project-1,303105300,326
2026-04-11,BDA,Project-1,203105499/303105300,326
2026-04-11,6A16,Project-1,303105300,327
2026-04-11,6A17,Project-1,303105300,328
2026-04-11,6A12,ML,303105354,329
2026-04-11,6A21,Project-1,303105300,358
2026-04-11,6A20,MEARN,303105386,360
2026-04-11,6B1,CS,303105342,361
2026-04-11,6B2,Project-1,303105300,362
2026-04-11,6B3,HPC,303105356,370
2026-04-11,6B4,Project-1,303105300,371
2026-04-11,6B5,Project-1,303105300,372
2026-04-11,6B6,HPC,303105356,373
2026-04-11,6A3,ML,303105354,203A
